SiteName,SurveyDate,AMBBIS,SurveyTypeID_FK
1,1/15/2003,0,1
1,3/3/2003,0,1
1,2/18/2005,0,1
1,1/20/2006,0,1
1,2/28/2006,0,1
1,1/7/2008,0,1
1,1/22/2010,0,1
1,2/5/2010,0,1
1,3/20/2010,0,1
1,3/8/2012,0,1
1,4/3/2012,0,1
1,3/5/2013,0,1
1,3/18/2013,0,1
1,4/15/2013,0,1
1,12/5/2013,0,1
1,12/20/2013,0,1
1,1/13/2014,0,1
1,1/28/2014,0,1
1,2/4/2014,0,1
1,2/25/2014,0,1
1,3/15/2014,0,1
1,4/9/2014,0,1
1,1/28/2015,0,1
1,2/10/2015,0,1
1,2/24/2015,0,1
1,3/24/2015,0,1
1,12/1/2015,0,1
1,12/14/2015,0,1
1,1/6/2016,0,1
1,1/21/2016,0,1
1,2/4/2016,0,1
1,3/7/2016,0,1
1,2/8/2017,0,1
1,3/2/2017,0,1
1,3/6/2017,0,1
1,3/21/2017,0,5
1,1/17/2018,0,5
1,2/15/2018,0,1
1,3/13/2018,0,1
1,1/2/2019,0,1
1,1/28/2019,0,1
1,2/26/2019,0,5
1,3/14/2019,0,1
1,1/6/2020,0,1
1,2/3/2020,0,1
1,3/2/2020,0,1
1,4/7/2020,0,5
1,1/6/2021,0,1
1,2/4/2021,0,5
1,3/1/2021,0,5
1,4/1/2021,0,1
1,1/3/2022,0,5
1,2/2/2022,0,5
1,3/1/2022,0,5
1,1/6/2023,0,1
1,2/3/2023,0,1
1,3/1/2023,0,5
1,4/4/2023,0,5
1,1/3/2024,0,5
1,2/5/2024,0,1
1,3/4/2024,0,1
1,4/8/2024,0,1
2,2/17/1993,1,1
2,1/24/1994,5,1
2,1/15/2003,0,1
2,3/3/2003,0,1
2,3/19/2003,0,1
2,1/19/2004,3,1
2,3/3/2004,2,1
2,1/23/2005,0,1
2,2/24/2005,0,1
2,1/20/2006,1,1
2,2/22/2006,0,1
2,3/22/2006,0,5
2,1/4/2008,0,1
2,1/7/2008,0,1
2,2/1/2008,0,1
2,3/20/2008,0,1
2,2/27/2009,0,1
2,1/21/2010,0,1
2,3/27/2010,0,1
2,1/19/2011,0,1
2,2/15/2011,0,1
2,3/16/2011,0,1
2,3/8/2012,0,1
2,3/20/2012,0,1
2,4/3/2012,0,1
2,4/18/2012,0,1
2,3/5/2013,0,1
2,3/18/2013,0,1
2,4/2/2013,0,1
2,4/15/2013,0,1
2,12/5/2013,0,1
2,12/20/2013,0,1
2,1/13/2014,0,1
2,1/28/2014,0,1
2,2/4/2014,0,1
2,2/25/2014,0,1
2,3/15/2014,0,1
2,4/9/2014,0,1
2,1/8/2015,0,1
2,1/28/2015,0,1
2,2/7/2015,0,1
2,2/25/2015,0,1
2,3/9/2015,0,1
2,3/24/2015,0,1
2,4/8/2015,0,1
2,12/1/2015,0,1
2,12/14/2015,0,1
2,1/6/2016,0,1
2,1/21/2016,0,1
2,2/4/2016,0,1
2,2/23/2016,0,1
2,3/7/2016,0,1
2,3/25/2016,0,1
2,1/9/2017,0,1
2,1/25/2017,0,1
2,2/8/2017,0,1
2,3/2/2017,0,1
2,1/19/2018,0,1
2,2/15/2018,0,1
2,3/13/2018,0,1
2,4/3/2018,0,1
2,1/2/2019,0,1
2,1/28/2019,0,1
2,2/27/2019,0,1
2,3/14/2019,0,1
2,1/6/2020,0,1
2,1/10/2020,60,9
2,1/13/2020,69,9
2,1/14/2020,59,9
2,1/15/2020,40,9
2,1/29/2020,8,6
2,2/7/2020,1,9
2,2/11/2020,5,6
2,2/25/2020,4,6
2,3/9/2020,3,6
2,3/24/2020,1,6
2,4/7/2020,0,5
2,1/6/2021,0,1
2,2/4/2021,0,1
2,3/1/2021,0,1
2,3/22/2021,95,9
2,3/23/2021,18,9
2,3/23/2021,56,9
2,3/25/2021,56,9
2,3/26/2021,40,9
2,3/30/2021,22,9
2,4/13/2021,1,9
2,4/13/2021,0,6
2,4/26/2021,4,9
2,1/3/2022,0,5
2,2/2/2022,0,1
2,2/23/2022,19,9
2,3/1/2022,0,5
2,3/21/2022,1,9
2,3/24/2022,57,9
2,3/25/2022,1,9
2,3/27/2022,20,9
2,3/31/2022,0,9
2,3/31/2022,2,6
2,4/4/2022,5,9
2,4/13/2022,1,9
2,4/13/2022,0,6
2,4/19/2022,1,9
2,4/26/2022,0,6
2,12/7/2022,0,7
2,1/6/2023,0,1
2,1/10/2023,20,6
2,1/25/2023,21,6
2,2/8/2023,25,6
2,2/21/2023,42,9
2,2/22/2023,35,9
2,2/28/2023,27,9
2,3/7/2023,0,6
2,4/3/2023,0,5
2,4/4/2023,0,5
2,1/10/2024,0,6
2,2/15/2024,5,6
2,3/11/2024,6,6
2,4/15/2024,0,6
3,2/17/1993,1,1
3,3/1/1994,1,1
3,1/16/2003,0,1
3,3/3/2003,0,1
3,1/19/2004,0,1
3,2/4/2004,0,1
3,3/3/2004,0,1
3,1/23/2005,0,1
3,2/24/2005,0,1
3,1/20/2006,0,1
3,3/22/2006,0,5
3,1/4/2008,0,1
3,2/21/2008,0,1
3,3/14/2008,0,1
